下单时间,计划ID,推广计划,计划类型,展现量,点击量,点击率,总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,加购率,加购成本,转化率,CPA,ROI,下单新客数,广告访客数,访问页面数,页面平均访问时长,深度进店数,商品关注数,店铺关注数,预约数,领劵数,总表单提交量
﻿20230401~20230426,1090814047,私模蜜粉_快车普通计划,商品,262828,27062,10.30,330798.36,1258.61,12.22,822,140273.61,2019,335397.94,2841,475671.55,0,0.00,6825,7839,14664,54.19,22.56,10.50,116.44,1.44,2139,18264,96831,20.4,0,77,252,0,619,0
20230401~20230426,1132001156,东方妆奁_快车普通计划关键词,商品,240994,12601,5.23,96077.21,398.67,7.62,121,133264.00,127,76362.94,248,209626.94,1,759.00,1299,1032,2331,18.50,41.22,1.97,387.41,2.18,156,7894,37165,19.1,3994,25,50,0,108,0
20230401~20230426,1132039486,小黛伞防晒_快车普通计划关键词,商品,200842,6160,3.07,39717.21,197.75,6.45,258,53136.67,63,8175.68,321,61312.34,0,0.00,1691,281,1972,32.01,20.14,5.21,123.73,1.54,198,3890,13406,21.2,1847,20,29,0,91,0
20230401~20230426,1090825694,私模气垫_快车普通计划,商品,191628,20889,10.90,244954.47,1278.28,11.73,436,87162.00,1611,294108.47,2047,381270.47,0,0.00,4478,6776,11254,53.88,21.77,9.80,119.67,1.56,1403,14336,80899,20.4,0,77,181,0,605,0
20230401~20230426,1090822607,小黛伞防晒_快车普通计划,商品,190889,12881,6.75,163598.94,857.04,12.70,1192,243783.67,219,32082.59,1411,275866.26,0,0.00,4823,905,5728,44.47,28.56,10.95,115.95,1.69,975,7778,32571,19.0,0,40,94,0,323,0
20230401~20230426,1132249659,眉笔_快车普通计划,商品,105850,15508,14.65,129296.01,1221.50,8.34,483,34224.71,1470,117568.56,1953,151793.28,0,0.00,3923,4328,8251,53.20,15.67,12.59,66.20,1.17,1477,9570,46047,19.4,0,29,45,0,123,0
20230401~20230426,1090837895,东方妆奁_快车普通计划,商品,99087,6957,7.02,76203.46,769.06,10.95,61,47563.00,187,92439.65,248,140002.65,1,759.00,654,960,1614,23.20,47.21,3.56,307.27,1.84,163,4554,23425,18.1,0,21,27,0,87,0
20230401~20230426,1090859130,玉养蜜粉_快车普通计划,商品,95924,12172,12.69,180340.73,1880.04,14.82,187,31944.60,1495,253782.77,1682,285727.37,0,0.00,2579,5142,7721,63.43,23.36,13.82,107.22,1.58,1174,8799,53481,20.1,0,41,102,0,311,0
20230401~20230426,1090847179,雕花口红_快车普通计划,商品,90301,5861,6.49,53973.03,597.70,9.21,106,13674.00,468,69236.05,574,82910.05,0,0.00,821,1401,2222,37.91,24.29,9.79,94.03,1.54,417,4183,27893,16.9,0,24,15,0,25,0
20230401~20230426,1090866259,玉养蜜粉饼_快车普通计划,商品,83156,9412,11.32,158307.54,1903.74,16.82,455,93134.00,738,131281.01,1193,224415.01,0,0.00,2939,3141,6080,64.60,26.04,12.68,132.70,1.42,829,6550,39364,19.7,0,25,92,0,339,0
