订单号,SKU ID,SKU金额,SKU数量,点击时间,下单时间,媒体类型,投放范围,计划ID,计划名称,单元ID,单元名称,创意ID,创意名称,落地页地址,品牌编码,品牌名称,省,市,订单类型,支付方式,订单状态,订单来源,预售订单,
237814426898,10033413704410,169.00,1,2022-03-17-03:28:15,2022-03-17-03:29:56,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,北京,北京市,直接订单,在线支付,完成,APP/M,普通订单,
240720728133,10029307929810,199.00,1,2022-03-16-20:33:08,2022-03-17-05:47:31,头条,720*1280视频（抖音视频APP-竖版视频）CPC,631771237,小黛伞防晒-京东定向-tCPA,631778536,0302直播组开心主播青衫小黛伞防晒效品口播痛点,6100570372,0302直播组开心主播青衫小黛伞防晒效品口播痛点,https://item.m.jd.com/product/10029307929810.html,454772,花西子,广东,汕尾市,直接订单,在线支付,完成,APP/M,普通订单,
240725049675,10025033943235,169.00,1,2022-03-14-08:04:26,2022-03-17-10:24:54,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,福建,三明市,间接订单,在线支付,完成,APP/M,普通订单,
240725049675,10029307929810,199.00,1,2022-03-14-08:04:26,2022-03-17-10:24:54,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,福建,三明市,间接订单,在线支付,完成,APP/M,普通订单,
237826530418,10033413704410,169.00,1,2022-03-17-10:39:58,2022-03-17-10:41:37,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,贵州,黔西南州,直接订单,在线支付,取消,APP/M,普通订单,
240731303620,10025033943234,169.00,1,2022-03-15-10:04:16,2022-03-17-10:46:06,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,海南,--,间接订单,在线支付,完成,APP/M,普通订单,
237828268307,10033413704410,169.00,1,2022-03-17-10:46:39,2022-03-17-10:46:55,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,江苏,苏州市,直接订单,在线支付,取消,APP/M,普通订单,
240728035815,10033413704410,169.00,1,2022-03-17-10:46:39,2022-03-17-10:50:02,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,江苏,苏州市,直接订单,在线支付,完成,APP/M,普通订单,
237833351187,10033413704410,169.00,1,2022-03-12-12:41:56,2022-03-17-12:33:30,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,贵州,六盘水市,直接订单,在线支付,取消,APP/M,普通订单,
240667038446,10043509237367,129.00,1,2022-03-12-21:03:08,2022-03-17-12:33:34,头条,720*1280视频（抖音视频APP-竖版视频）CPC,629309916,私模蜜粉-京东定向-tCPA,629349586,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,6072683940,0208广告盾盾主播青衫私模蜜粉k03效品口播痛点,https://item.m.jd.com/product/10033413704410.html,454772,花西子,山东,青岛市,间接订单,在线支付,取消,APP/M,普通订单,
