下单时间,推广设备,计划ID,计划名称,品类名,SKUID,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,转化率(%),ROI,下单新客数,访问页面数,页面平均访问时长,深度进店数,店铺关注数,商品关注数,预约数,领劵数,推广模式
﻿20230423,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,1412173,22695,1.61,16822.06,11.91,0.74,8,792.00,15,1675.00,23,2467.00,0,0.00,139,174,313,0.10,0.15,9,13084,12.2,0,11,23,0,6,普通推广
20230422,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,1255705,19491,1.55,13979.53,11.13,0.72,6,594.00,7,993.00,13,1587.00,0,0.00,109,57,166,0.07,0.11,8,11077,12.6,0,3,20,0,2,普通推广
20230421,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,1100582,16092,1.46,12222.78,11.11,0.76,5,495.00,10,920.90,15,1415.90,0,0.00,73,64,137,0.09,0.12,9,8572,12.0,0,6,14,0,2,普通推广
20230406,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,739253,11907,1.61,6032.55,8.16,0.51,4,396.00,8,1901.00,12,2297.00,0,0.00,60,61,121,0.10,0.38,8,5004,11.3,0,4,12,0,3,普通推广
20230407,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,734160,9766,1.33,6186.80,8.43,0.63,2,198.00,3,357.00,5,555.00,0,0.00,52,15,67,0.05,0.09,3,4798,12.3,0,2,9,0,4,普通推广
20230416,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,673754,12151,1.80,6238.77,9.26,0.51,3,297.00,8,822.70,11,1119.70,0,0.00,53,45,98,0.09,0.18,6,4433,11.8,0,6,12,0,1,普通推广
20230415,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,667477,10972,1.64,5863.76,8.78,0.53,1,99.00,6,534.00,7,633.00,0,0.00,63,38,101,0.06,0.11,5,4861,12.7,0,1,16,0,3,普通推广
20230409,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,634017,11386,1.80,5827.75,9.19,0.51,2,198.00,7,1220.00,9,1418.00,0,0.00,45,39,84,0.08,0.24,6,4619,13.5,0,4,22,0,1,普通推广
20230408,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,626025,10309,1.65,5447.63,8.70,0.53,1,99.00,5,665.00,6,764.00,0,0.00,55,10,65,0.06,0.14,2,4311,11.9,0,2,12,0,1,普通推广
20230411,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,609505,9903,1.62,5456.88,8.95,0.55,4,396.00,12,2057.01,16,2453.01,0,0.00,61,46,107,0.16,0.45,10,4575,14.0,0,5,14,0,3,普通推广
20230412,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,608903,9956,1.64,6424.04,10.55,0.65,3,297.00,6,1256.02,9,1553.02,0,0.00,59,52,111,0.09,0.24,4,4595,12.4,0,3,7,0,3,普通推广
20230410,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,607891,10272,1.69,5729.46,9.43,0.56,4,396.00,8,733.01,12,1129.01,0,0.00,54,31,85,0.12,0.20,4,4474,13.3,0,2,17,0,0,普通推广
20230414,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,606199,8797,1.45,5313.44,8.77,0.60,8,792.00,8,453.01,16,1245.01,0,0.00,67,41,108,0.18,0.23,4,4217,12.2,0,2,8,0,2,普通推广
20230420,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,592343,9354,1.58,6688.74,11.29,0.72,2,198.00,9,772.80,11,970.80,0,0.00,50,36,86,0.12,0.15,5,5327,12.0,0,3,10,0,4,普通推广
20230413,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,519099,8084,1.56,5491.83,10.58,0.68,1,99.00,11,1699.01,12,1798.01,0,0.00,45,41,86,0.15,0.33,3,4209,12.1,0,6,8,0,2,普通推广
20230404,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,490843,9302,1.90,3835.84,7.81,0.41,1,99.00,4,476.00,5,575.00,0,0.00,46,43,89,0.05,0.15,3,3486,10.5,0,4,15,0,0,普通推广
20230405,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,487230,8969,1.84,3604.86,7.40,0.40,2,198.00,5,603.00,7,801.00,0,0.00,43,35,78,0.08,0.22,3,4177,12.3,0,5,15,0,2,普通推广
20230417,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,459435,8313,1.81,4592.15,10.00,0.55,3,297.00,7,1393.00,10,1690.00,0,0.00,42,56,98,0.12,0.37,3,3533,13.5,0,1,8,0,1,普通推广
20230403,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,458334,8907,1.94,4234.39,9.24,0.48,1,99.00,4,366.00,5,465.00,0,0.00,48,29,77,0.06,0.11,3,3476,12.9,0,2,12,0,3,普通推广
20230418,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,449901,7417,1.65,4723.52,10.50,0.64,1,99.00,3,657.00,4,756.00,0,0.00,32,22,54,0.05,0.16,2,3428,12.8,0,0,14,0,1,普通推广
20230402,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,443965,9344,2.10,3928.67,8.85,0.42,1,99.00,7,813.00,8,912.00,0,0.00,51,50,101,0.09,0.23,5,3610,13.2,0,3,11,0,6,普通推广
20230419,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,441503,7907,1.79,4741.19,10.74,0.60,1,99.00,8,962.90,9,1061.90,0,0.00,39,34,73,0.11,0.22,6,3520,12.8,0,3,4,0,2,普通推广
20230401,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,357942,8415,2.35,3936.72,11.00,0.47,1,99.00,6,864.00,7,963.00,0,0.00,46,53,99,0.08,0.24,6,3654,12.7,0,3,19,0,4,普通推广
20230424,全部,626847635,经典海投计划,花西子-其它彩妆,10037768898081,198764,3650,1.84,2181.78,10.98,0.60,1,99.00,11,1429.90,12,1528.90,0,0.00,22,33,55,0.33,0.70,4,2042,13.0,0,1,4,0,2,普通推广
20230414,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,47209,635,1.35,1486.09,31.48,2.34,0,0.00,0,0.00,0,0.00,0,0.00,45,61,106,0.00,0.00,0,908,23.4,0,2,4,0,3,普通推广
20230412,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,46887,668,1.42,1418.89,30.26,2.12,1,129.00,1,129.00,2,258.00,0,0.00,37,62,99,0.30,0.18,1,822,19.6,0,1,2,0,2,普通推广
20230415,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,46561,713,1.53,1611.56,34.61,2.26,0,0.00,8,1032.00,8,1032.00,0,0.00,50,68,118,1.12,0.64,5,1230,24.2,0,2,5,0,8,普通推广
20230411,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,45449,713,1.57,1481.46,32.60,2.08,0,0.00,1,129.00,1,129.00,0,0.00,41,44,85,0.14,0.09,1,853,26.3,0,0,3,0,5,普通推广
20230413,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,41004,551,1.34,1206.69,29.43,2.19,1,129.00,5,645.00,6,774.00,0,0.00,23,25,48,1.09,0.64,4,731,20.9,0,0,2,0,0,普通推广
20230410,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,40873,643,1.57,1287.17,31.49,2.00,0,0.00,5,585.00,5,585.00,0,0.00,39,68,107,0.78,0.45,5,922,18.9,0,1,3,0,4,普通推广
20230408,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,40698,660,1.62,1316.43,32.35,1.99,2,258.00,6,734.00,8,992.00,0,0.00,38,47,85,1.21,0.75,5,1074,24.8,0,1,5,0,1,普通推广
20230416,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,37721,533,1.41,1169.88,31.01,2.19,0,0.00,6,734.00,6,734.00,0,0.00,34,26,60,1.13,0.63,5,819,22.9,0,2,4,0,0,普通推广
20230409,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,33133,524,1.58,973.03,29.37,1.86,0,0.00,3,387.00,3,387.00,0,0.00,21,49,70,0.57,0.40,3,994,17.9,0,0,2,0,1,普通推广
20230404,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,32038,511,1.59,973.00,30.37,1.90,0,0.00,4,586.00,4,586.00,0,0.00,27,53,80,0.78,0.60,3,662,21.5,0,0,4,0,1,普通推广
20230405,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,31607,569,1.80,1007.69,31.88,1.77,0,0.00,2,258.00,2,258.00,0,0.00,23,29,52,0.35,0.26,2,849,19.7,0,0,4,0,0,普通推广
20230402,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,31562,500,1.58,936.63,29.68,1.87,0,0.00,2,298.00,2,298.00,0,0.00,35,44,79,0.40,0.32,1,801,20.3,0,0,4,0,2,普通推广
20230425,全部,626847635,经典海投计划,花西子-蜜粉/散粉,10038416971359,31277,335,1.07,1268.61,40.56,3.79,2,338.00,2,338.00,4,676.00,0,0.00,19,19,38,1.19,0.53,3,360,18.5,0,2,4,0,1,普通推广
20230426,全部,626847635,经典海投计划,花西子-彩妆套装,68477031919,30441,646,2.12,2612.60,85.83,4.04,5,3495.00,8,6782.00,13,10277.00,0,0.00,76,70,146,2.01,3.93,9,2250,21.4,0,4,4,0,9,普通推广
20230403,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,30131,507,1.68,956.79,31.75,1.89,1,129.00,2,258.00,3,387.00,0,0.00,33,35,68,0.59,0.40,3,763,21.3,0,0,4,0,2,普通推广
20230407,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,29029,485,1.67,908.76,31.31,1.87,0,0.00,4,766.00,4,766.00,0,0.00,31,36,67,0.82,0.84,3,891,20.4,0,1,9,0,0,普通推广
20230424,全部,626847635,经典海投计划,花西子-蜜粉/散粉,10038416971359,28811,285,0.99,1214.05,42.14,4.26,1,169.00,0,0.00,1,169.00,0,0.00,16,24,40,0.35,0.14,0,371,15.8,0,1,4,0,1,普通推广
20230424,全部,626847635,经典海投计划,花西子-彩妆套装,68477031919,28549,647,2.27,2799.62,98.06,4.33,2,1398.00,4,1276.00,6,2674.00,0,0.00,58,56,114,0.93,0.96,5,2047,19.5,0,2,6,0,3,普通推广
20230417,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,28299,391,1.38,820.84,29.01,2.10,0,0.00,9,853.70,9,853.70,0,0.00,20,39,59,2.30,1.04,5,569,28.9,0,0,6,0,7,普通推广
20230401,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,27483,473,1.72,908.52,33.06,1.92,0,0.00,1,129.00,1,129.00,0,0.00,28,39,67,0.21,0.14,1,834,21.8,0,0,5,0,3,普通推广
20230406,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,26568,432,1.63,767.57,28.89,1.78,0,0.00,1,129.00,1,129.00,0,0.00,22,29,51,0.23,0.17,1,694,20.0,0,0,4,0,2,普通推广
20230425,全部,626847635,经典海投计划,花西子-彩妆套装,68477031919,26251,590,2.25,2654.71,101.13,4.50,0,0.00,1,199.00,1,199.00,0,0.00,44,37,81,0.17,0.07,1,1623,19.9,0,3,4,0,4,普通推广
20230425,全部,626847635,经典海投计划,花西子-粉饼,10064620812408,25565,269,1.05,1191.11,46.59,4.43,2,398.00,3,377.00,5,775.00,0,0.00,18,28,46,1.86,0.65,4,389,25.3,0,1,3,0,2,普通推广
20230418,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,22389,335,1.50,710.08,31.72,2.12,0,0.00,4,546.00,4,546.00,0,0.00,22,22,44,1.19,0.77,3,454,24.0,0,0,3,0,0,普通推广
20230419,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,21974,317,1.44,762.37,34.69,2.40,0,0.00,3,387.00,3,387.00,0,0.00,28,29,57,0.95,0.51,3,628,21.7,0,1,1,0,0,普通推广
20230423,全部,626847635,经典海投计划,花西子-唇彩唇蜜/唇釉,10043509237366,20690,396,1.91,687.92,33.25,1.74,0,0.00,2,258.00,2,258.00,0,0.00,21,40,61,0.51,0.38,2,636,25.0,0,0,4,0,0,普通推广
20230422,全部,626847635,经典海投计划,花西子-彩妆套装,68477031919,18366,267,1.45,474.48,25.83,1.78,1,699.00,0,0.00,1,699.00,0,0.00,17,4,21,0.37,1.47,1,790,24.6,0,2,4,0,1,普通推广
