下单时间,计划ID,计划名,推广设备,计划类型,展现量,点击量,点击率,花费,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,回报率,转化率,新客范围,未购买周期,拉新新客数,拉新新客成本,预售订单行,预售订单金额,直接加购数,间接加购数,非采销总加购数,广告访客数,下单新客数,访问页面数,页面平均访问时长,深度进店数,商品关注数,店铺关注数,预约数,领劵数,点赞数,评论数,分享数,关注数,互动数,互动率,总表单提交量,落地页展现量,任务互动率,任务互动量,落地页展现成本,互动成本,
20230426,1200809201,华硕品牌联合活动0424_展位,全部,活动推广,139141,293,0.21,3998.28,28.74,13.65,1,759.00,0,0.00,1,759.00,0.19,0.34,--,180,0,0.00,1,759.00,0,4,4,54,1,201,17.1,28,0,0,0,2,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230425,1200809201,华硕品牌联合活动0424_展位,全部,活动推广,22105,61,0.28,987.94,44.69,16.20,0,0.00,2,998.00,2,998.00,1.01,3.28,--,180,0,0.00,0,0.00,0,5,5,19,1,97,12.7,13,0,0,0,1,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230424,1200809201,华硕品牌联合活动0424_展位,全部,活动推广,26796,80,0.30,978.62,36.52,12.23,0,0.00,1,199.00,1,199.00,0.20,1.25,--,180,0,0.00,0,0.00,0,4,4,22,1,102,18.9,14,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230407,1132727355,防晒季活动页无利益点_展位,全部,活动推广,33681,116,0.34,855.71,25.41,7.38,1,199.00,1,199.00,2,398.00,0.47,1.72,--,180,0,0.00,0,0.00,1,9,10,12,2,83,25.9,13,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230406,1132727355,防晒季活动页无利益点_展位,全部,活动推广,51544,115,0.22,1196.85,23.22,10.41,1,199.00,1,169.00,2,368.00,0.31,1.74,--,180,0,0.00,0,0.00,3,14,17,41,1,146,17.9,23,1,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230404,1132727355,防晒季活动页无利益点_展位,全部,活动推广,44938,103,0.23,860.06,19.14,8.35,0,0.00,0,0.00,0,0.00,0.00,0.00,--,180,0,0.00,0,0.00,4,3,7,29,0,123,20.6,20,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230403,1132727355,防晒季活动页无利益点_展位,全部,活动推广,159204,327,0.21,2788.69,17.52,8.53,4,796.00,3,487.00,7,1283.00,0.46,2.14,--,180,0,0.00,0,0.00,11,36,47,108,4,422,22.8,66,2,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230402,1132727355,防晒季活动页无利益点_展位,全部,活动推广,80103,218,0.27,1499.74,18.72,6.88,5,995.00,6,944.00,11,1939.00,1.29,5.05,--,180,0,0.00,0,0.00,11,21,32,74,3,340,18.3,54,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230401,1132727355,防晒季活动页无利益点_展位,全部,活动推广,83707,186,0.22,1504.25,17.97,8.09,2,398.00,4,936.00,6,1334.00,0.89,3.23,--,180,0,0.00,0,0.00,4,15,19,64,6,327,19.7,46,11,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
20230401,1132401544,防晒季活动页利益点_展位,全部,活动推广,280,2,0.71,2.89,10.32,1.45,0,0.00,0,0.00,0,0.00,0.00,0.00,--,180,0,0.00,0,0.00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0.00,0.00,
