日期,ID,推广计划,计划类型,计费类型,展现量,点击量,点击率,总费用,千次展现成本,平均点击成本,破圈人群曝光占比,破圈人群点击占比,破圈人群点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,加购率,加购成本,转化率,CPA,ROI,表单提交量,总表单提交量,下单新客数,广告访客数,访问页面数,页面平均访问时长,深度进店数,商品关注数,店铺关注数,预约数,领劵数,直播点赞数,直播评论数,直播分享数,直播关注数,直播互动数,直播互动率(%s),观看次数,观看时长,平均观看时长,视频点赞数,视频评论数,视频分享数,视频互动数,视频互动率(%s),视频播放次数,视频有效播放次数,视频播放时长,完播率,视频有效播放率,新客范围,未购买周期,拉新新客数,拉新新客成本
﻿20230401~20230426,1090907616,小黛伞防晒_购物触点,商品,CPC,2676019,15893,0.59,162103.60,60.58,10.20,58.79,43.08,11.17,836,181687.86,379,50316.51,1215,232004.37,0,0.00,3648,1808,5456,34.33,29.71,7.64,133.42,1.43,0,0,638,10492,35408,21.8,5145,73,113,0,604,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090896399,私模蜜粉_购物触点,商品,CPC,1396815,11879,0.85,113777.41,81.45,9.58,43.24,29.17,8.75,245,42419.00,747,124284.30,992,166703.30,0,0.00,1535,2764,4299,36.19,26.47,8.35,114.69,1.47,0,0,587,7753,29695,23.5,4239,66,130,0,458,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1085214121,素颜出行组合_购物触点,商品,CPC,1228653,4895,0.40,42776.05,34.82,8.74,22.89,27.87,11.14,70,25760.72,193,33792.97,263,59553.69,0,0.00,512,929,1441,29.44,29.68,5.37,162.65,1.39,0,0,145,3749,12833,29.7,1913,28,37,0,202,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090929269,东方妆奁_购物触点,商品,CPC,1081891,11022,1.02,107621.71,99.48,9.76,63.46,54.62,10.52,74,59992.50,343,92372.22,417,152364.72,0,0.00,866,1583,2449,22.22,43.95,3.78,258.09,1.42,0,0,222,7576,28707,21.2,3902,87,44,0,157,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090948157,单层气垫_购物触点,商品,CPC,830039,10035,1.21,80775.94,97.32,8.05,59.56,48.76,8.18,164,22800.37,414,62013.69,578,84814.06,0,0.00,1320,1888,3208,31.97,25.18,5.76,139.75,1.05,0,0,347,6658,25435,22.5,3809,71,43,0,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1126471599,玉养蜜粉_购物触点,商品,CPC,780771,7043,0.90,56466.73,72.32,8.02,53.64,42.94,7.50,83,14196.00,327,53181.64,410,67377.64,0,0.00,920,1553,2473,35.11,22.83,5.82,137.72,1.19,0,0,239,4419,15663,20.5,2037,53,33,0,187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090955378,持色唇纱_购物触点,商品,CPC,708766,8765,1.24,55033.13,77.65,6.28,56.40,51.50,6.39,47,6064.00,459,67438.66,506,73502.66,0,0.00,988,2077,3065,34.97,17.96,5.77,108.76,1.34,0,0,263,5652,23155,22.4,3072,64,31,0,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090951190,雕花口红_购物触点,商品,CPC,536199,5772,1.08,36303.32,67.70,6.29,29.42,15.90,6.45,97,13163.50,240,34157.28,337,47320.78,0,0.00,605,1020,1625,28.15,22.34,5.84,107.72,1.30,0,0,226,4055,21511,19.2,2733,22,23,0,55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1104023538,玉容纱粉饼_购物触点,商品,CPC,519384,6534,1.26,56147.57,108.10,8.59,51.01,37.54,9.17,135,27463.50,334,55166.21,469,82629.71,0,0.00,1043,1524,2567,39.29,21.87,7.18,119.72,1.47,0,0,277,4604,20451,20.6,2693,29,43,0,224,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090937545,私模气垫_购物触点,商品,CPC,509242,4641,0.91,39326.46,77.23,8.47,40.13,32.82,9.55,99,20099.00,214,35970.39,313,56069.39,0,0.00,630,946,1576,33.96,24.95,6.74,125.64,1.43,0,0,163,3449,13393,24.4,2028,18,34,0,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1092831112,卸妆油_购物触点,商品,CPC,497168,2123,0.43,24649.82,49.58,11.61,34.71,36.18,15.03,89,19019.75,92,11620.52,181,30640.27,0,0.00,293,299,592,27.89,41.64,8.53,136.19,1.24,0,0,76,1494,3982,27.3,564,14,6,0,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1085212646,同心锁口红_购物触点,商品,CPC,454064,3370,0.74,30929.55,68.12,9.18,43.44,25.37,9.68,68,14892.00,173,37612.40,241,52504.40,0,0.00,385,774,1159,34.39,26.69,7.15,128.34,1.70,0,0,147,2359,10705,24.0,1383,21,13,0,57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1144122605,直播测试_购物触点,直播,CPC,406493,6714,1.65,17920.73,44.09,2.67,46.10,41.72,2.87,53,9602.00,25,1493.53,78,11095.53,0,0.00,471,120,591,8.80,30.32,1.16,229.75,0.62,0,0,45,1020,5860,17.5,774,20,0,0,180,111,107,14,73,305,4.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1106333002,玉养喷雾_购物触点,商品,CPC,405325,3319,0.82,34675.72,85.55,10.45,65.85,66.86,10.95,103,16539.00,154,22836.45,257,39375.45,0,0.00,525,489,1014,30.55,34.20,7.74,134.92,1.14,0,0,145,2270,7734,20.4,1195,38,19,0,83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090969616,蜜粉饼_购物触点,商品,CPC,372448,2936,0.79,30555.92,82.04,10.41,45.45,31.78,10.44,84,15394.00,170,30087.83,254,45481.83,0,0.00,516,716,1232,41.96,24.80,8.65,120.30,1.49,0,0,132,2026,8080,21.3,1068,13,28,0,113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
