日期,推广计划名称,曝光量,点击量,点击率,点击均价,花费
2023-04-01,小黛伞-标品,"34,064",316,0.93%,4.60,"1,453.90"
2023-04-02,小黛伞-标品,"24,473",232,0.95%,5.42,"1,256.34"
2023-04-03,小黛伞-标品,"15,506",162,1.04%,7.91,"1,281.74"
2023-04-04,小黛伞-标品,"33,091",354,1.07%,6.80,"2,408.63"
2023-04-05,小黛伞-标品,"4,957",57,1.15%,7.72,440.23
2023-04-06,小黛伞-标品,"4,563",88,1.93%,6.70,589.58
2023-04-07,小黛伞-标品,555,5,0.90%,23.86,119.28
2023-04-08,小黛伞-标品,"2,071",42,2.03%,6.84,287.19
2023-04-09,小黛伞-标品,"1,048",18,1.72%,6.65,119.67
2023-04-10,小黛伞-标品,"4,282",58,1.35%,6.12,355.09
2023-04-11,小黛伞-标品,"1,453",36,2.48%,4.65,167.27
2023-04-12,小黛伞-标品,223,14,6.28%,2.68,37.57
2023-04-13,小黛伞-标品,"7,183",75,1.04%,7.71,578.26
2023-04-14,小黛伞-标品,"4,383",54,1.23%,7.36,397.60
2023-04-15,小黛伞-标品,"1,292",21,1.63%,5.92,124.34
2023-04-16,小黛伞-标品,212,7,3.30%,3.49,24.42
2023-04-17,小黛伞-标品,51,0,0.00%,0.00,9.18
2023-04-18,小黛伞-标品,0,0,0.00%,0.00,0.00
2023-04-20,小黛伞-标品,0,0,0.00%,0.00,0.00
2023-04-21,小黛伞-标品,0,0,0.00%,0.00,0.00
2023-04-22,小黛伞-标品,0,0,0.00%,0.00,0.00
2023-04-23,小黛伞-标品,0,0,0.00%,0.00,0.00
2023-04-25,小黛伞-标品,0,0,0.00%,0.00,0.00
2023-04-01,翡翠气垫-标品,"1,704",18,1.06%,5.77,103.84
2023-04-03,翡翠气垫-标品,58,0,0.00%,0.00,16.32
2023-04-05,翡翠气垫-标品,"1,118",17,1.52%,6.93,117.75
2023-04-06,翡翠气垫-标品,"5,692",64,1.12%,7.50,479.70
2023-04-07,翡翠气垫-标品,"5,445",107,1.97%,7.62,815.03
2023-04-08,翡翠气垫-标品,"5,439",93,1.71%,7.60,706.39
2023-04-09,翡翠气垫-标品,"1,878",27,1.44%,8.32,224.57
2023-04-10,翡翠气垫-标品,"1,338",14,1.05%,8.96,125.42
2023-04-11,翡翠气垫-标品,"1,324",38,2.87%,4.69,178.11
2023-04-12,翡翠气垫-标品,708,24,3.39%,4.18,100.27
2023-04-13,翡翠气垫-标品,"10,820",163,1.51%,6.57,"1,071.28"
2023-04-14,翡翠气垫-标品,"7,117",129,1.81%,7.59,979.42
2023-04-15,翡翠气垫-标品,"3,551",52,1.46%,7.07,367.51
2023-04-16,翡翠气垫-标品,"1,340",21,1.57%,7.01,147.22
2023-04-17,翡翠气垫-标品,669,14,2.09%,8.71,121.94
2023-04-18,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-19,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-20,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-21,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-22,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-23,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-24,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-25,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-26,翡翠气垫-标品,0,0,0.00%,0.00,0.00
2023-04-05,无商品,125,4,3.20%,2.92,11.66
2023-04-16,净妆组合,380,8,2.11%,4.48,35.83
2023-04-17,净妆组合,55,0,0.00%,0.00,8.91
