记录类型,日期,资金类型,资金账户名称,流水类型,操作类型,业务类型,收支类型,金额(元),订单号,备注
资金账户记录,"2023-04-17 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,140.03,,扣费
资金账户记录,"2023-04-16 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,207.47,,扣费
资金账户记录,"2023-04-15 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,491.85,,扣费
资金账户记录,"2023-04-14 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,1377.02,,扣费
资金账户记录,"2023-04-13 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,1649.54,,扣费
资金账户记录,"2023-04-12 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,137.84,,扣费
资金账户记录,"2023-04-11 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,334.9,,扣费
资金账户记录,"2023-04-10 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,480.43,,扣费
资金账户记录,"2023-04-09 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,344.24,,扣费
资金账户记录,"2023-04-08 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,993.58,,扣费
资金账户记录,"2023-04-07 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,934.31,,扣费
资金账户记录,"2023-04-06 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,1069.28,,扣费
资金账户记录,"2023-04-05 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,569.64,,扣费
资金账户记录,"2023-04-04 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,2408.63,,扣费
资金账户记录,"2023-04-03 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,1298.06,,扣费
资金账户记录,"2023-04-02 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,1256.34,,扣费
资金账户记录,"2023-04-01 23:59:59",广告充值金,广告充值金,通用,扣费,广告扣款,支出,1557.74,,扣费
