日期,账户快手id,广告主账户id,日总花费,充值花费,框返花费,激励花费,电商花费,充值转入,框返转入,激励转入,电商转入,总转入,充值转出,框返转出,激励转出,电商转出,总转出,日终结余
2023-04-26,1121008791,16909143,20801.511,20801.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93293.943
2023-04-25,1121008791,16909143,17738.873,17738.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,114095.454
2023-04-24,1121008791,16909143,15000.955,15000.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,131834.327
2023-04-23,1121008791,16909143,11915.849,11915.849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,146835.282
2023-04-22,1121008791,16909143,16232.313,16232.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,158751.131
2023-04-21,1121008791,16909143,13344.747,13344.747,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,174983.444
2023-04-20,1121008791,16909143,13072.429,13072.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,188328.191
2023-04-19,1121008791,16909143,8357.204,8357.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,201400.620
2023-04-18,1121008791,16909143,12461.800,12461.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,209757.824
2023-04-17,1121008791,16909143,8056.396,8056.396,0.000,0.000,0.000,200000.000,0.000,0.000,0.000,200000.000,0.000,0.000,0.000,0.000,0.000,222219.624
2023-04-16,1121008791,16909143,9400.305,9400.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30276.020
2023-04-15,1121008791,16909143,9073.344,9073.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39676.325
2023-04-14,1121008791,16909143,16354.986,16354.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48749.669
2023-04-13,1121008791,16909143,7633.282,7633.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65104.655
2023-04-12,1121008791,16909143,13603.466,13603.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72737.937
2023-04-11,1121008791,16909143,13324.514,13324.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86341.403
2023-04-10,1121008791,16909143,19092.397,19092.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99665.917
2023-04-09,1121008791,16909143,14528.745,14528.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,118758.314
2023-04-08,1121008791,16909143,10000.546,10000.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133287.059
2023-04-07,1121008791,16909143,3027.344,3027.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,143287.605
2023-04-06,1121008791,16909143,7003.472,7003.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,146314.949
2023-04-05,1121008791,16909143,18045.216,17696.463,0.000,348.753,0.000,0.000,0.000,348.753,0.000,348.753,0.000,0.000,0.000,0.000,0.000,153318.421
2023-04-04,1121008791,16909143,10303.001,10303.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,171014.884
2023-04-03,1121008791,16909143,8612.906,8612.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,181317.885
2023-04-02,1121008791,16909143,8032.723,8032.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,189930.791
2023-04-01,1121008791,16909143,2036.486,2036.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,197963.514
