"时间","计划名称","花费(元)","转化数","转化成本","直接ROI","直接GMV","当日累计GMV","当日累计ROI","当日累计订单数","当日累计订单成本","涨粉数","直播观看数","直播间人气数","直播间人气成本","30日累计平台新客","30日累计店铺新客"
"0","","242547.43","2229","108.81","1.61","389916.93","447938.23","1.85","2597","93.39523527146707","1817","204332","240400","1.01","12","1315"
"2023-04-26","同心锁","194.46","1","194.46","0.71","139.00","268.00","1.38","2","97.232","0","25","25","7.78","0","1"
"2023-04-26","CBO","456.11","3","152.04","1.13","517.00","676.00","1.48","4","114.0285","1","56","56","8.14","0","3"
"2023-04-26","测试","52.34","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","8","8","6.54","0","0"
"2023-04-26","建模","76.61","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","6","6","12.77","0","0"
"2023-04-26","直播推广_新客_20230410_14:57","965.38","9","107.26","1.28","1232.00","1580.00","1.64","10","96.5383","21","6366","6872","0.14","0","5"
"2023-04-26","短视频推广_GH_20230401_20:10","11676.67","128","91.22","1.82","21231.50","22413.30","1.92","138","84.61357971014493","63","1499","1499","7.79","0","68"
"2023-04-26","直播推广_20230401_20:08","792.05","8","99.01","1.72","1362.00","1362.00","1.72","8","99.006125","6","1926","2126","0.37","0","2"
"2023-04-25","同心锁","168.52","1","168.52","1.12","189.00","189.00","1.12","1","168.518","0","17","17","9.91","0","1"
"2023-04-25","CBO","2679.57","14","191.40","1.01","2715.00","3916.80","1.46","24","111.64854166666667","18","302","302","8.87","0","7"
"2023-04-25","测试","35.47","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","8","8","4.43","0","0"
"2023-04-25","建模","42.16","1","42.16","3.77","159.00","159.00","3.77","1","42.156","0","7","7","6.02","0","1"
"2023-04-25","直播推广_新客_20230410_14:57","437.59","3","145.86","1.32","576.00","765.00","1.75","5","87.5182","11","3045","3386","0.13","0","4"
"2023-04-25","短视频推广_GH_20230401_20:10","6890.55","69","99.86","1.66","11443.90","12600.40","1.83","78","88.34032051282051","47","927","927","7.43","0","47"
"2023-04-25","直播推广_20230401_20:08","131.30","1","131.30","0.53","69.00","69.00","0.53","1","131.299","0","14","14","9.38","0","0"
"2023-04-24","同心锁","404.12","3","134.71","1.43","576.00","576.00","1.43","4","101.03025","0","29","29","13.94","0","1"
"2023-04-24","CBO","2294.61","6","382.43","0.64","1472.00","2148.00","0.94","10","229.46079999999998","12","265","265","8.66","0","2"
"2023-04-24","测试","75.82","1","75.82","2.49","189.00","189.00","2.49","1","75.818","0","19","19","3.99","0","0"
"2023-04-24","建模","22.88","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","0","0","0.00","0","0"
"2023-04-24","直播推广_新客_20230410_14:57","1006.71","8","125.84","1.26","1272.90","1272.90","1.26","8","125.838875","9","1536","1968","0.51","0","5"
"2023-04-24","短视频推广_GH_20230401_20:10","5595.84","64","87.43","2.21","12368.80","12975.80","2.32","70","79.94055714285714","27","621","621","9.01","0","38"
"2023-04-24","直播推广_20230401_20:08","885.59","7","126.51","1.21","1068.90","1386.90","1.57","9","98.39888888888889","5","2713","2994","0.30","0","5"
"2023-04-23","同心锁","282.42","0","0.00","0.00","0.00","288.00","1.02","2","141.208","1","34","34","8.31","0","0"
"2023-04-23","CBO","95.22","1","95.22","0.00","0.00","0.00","0.00","0","0.0","1","14","14","6.80","0","0"
"2023-04-23","测试","44.85","1","44.85","4.21","189.00","189.00","4.21","1","44.854","0","10","10","4.49","0","0"
"2023-04-23","建模","70.22","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","8","8","8.78","0","0"
"2023-04-23","直播推广_新客_20230410_14:57","2047.81","16","127.99","1.41","2893.00","2893.00","1.41","16","127.9883125","18","9460","11149","0.18","0","11"
"2023-04-23","短视频推广_GH_20230401_20:10","2702.06","19","142.21","1.50","4056.00","4683.00","1.73","27","100.07614814814815","11","353","353","7.65","0","18"
"2023-04-23","直播推广_20230401_20:08","2019.55","18","112.20","1.60","3239.70","3249.60","1.61","19","106.29221052631578","6","1429","1789","1.13","0","9"
"2023-04-22","CBO","1652.19","12","137.68","1.34","2208.00","2367.00","1.43","12","137.68225","4","165","165","10.01","0","8"
"2023-04-22","测试","125.61","2","62.80","4.59","577.00","577.00","4.59","2","62.8025","0","28","28","4.49","0","0"
"2023-04-22","建模","121.15","0","0.00","0.00","0.00","318.00","2.62","2","60.5765","0","10","10","12.12","0","0"
"2023-04-22","直播推广_新客_20230410_14:57","2453.44","14","175.25","1.07","2626.00","3809.00","1.55","21","116.83052380952381","21","2399","4414","0.56","0","13"
"2023-04-22","短视频推广_GH_20230401_20:10","3483.21","36","96.76","1.76","6125.00","7368.00","2.12","42","82.93366666666667","14","478","478","7.29","0","25"
"2023-04-22","直播推广_20230401_20:08","1709.97","12","142.50","1.18","2018.90","2207.90","1.29","13","131.53615384615384","17","2533","3314","0.52","0","3"
"2023-04-21","CBO","1706.97","16","106.69","1.46","2489.80","2792.90","1.64","17","100.40976470588235","14","200","200","8.53","0","7"
"2023-04-21","测试","48.56","0","0.00","0.00","0.00","0.00","0.00","0","0.0","1","6","6","8.09","0","0"
"2023-04-21","建模","194.77","2","97.38","1.42","277.00","277.00","1.42","3","64.922","0","20","20","9.74","0","1"
"2023-04-21","直播推广_新客_20230410_14:57","1117.73","13","85.98","2.08","2326.90","2341.80","2.10","14","79.83757142857144","17","3094","3758","0.30","0","10"
"2023-04-21","短视频推广_GH_20230401_20:10","4730.52","49","96.54","1.92","9098.90","10141.90","2.14","56","84.4735","26","677","677","6.99","0","27"
"2023-04-21","直播推广_20230401_20:08","2198.82","19","115.73","1.51","3310.00","3976.00","1.81","24","91.61754166666667","18","3693","4409","0.50","0","15"
"2023-04-20","CBO","1615.94","25","64.64","2.86","4624.00","5300.00","3.28","30","53.8645","10","215","215","7.52","0","18"
"2023-04-20","测试","63.66","0","0.00","0.00","0.00","0.00","0.00","0","0.0","1","10","10","6.37","0","0"
"2023-04-20","建模","43.88","1","43.88","4.31","189.00","189.00","4.31","1","43.877","0","6","6","7.31","0","0"
"2023-04-20","直播推广_新客_20230410_14:57","843.31","5","168.66","1.10","925.00","1342.00","1.59","8","105.414","16","4438","4935","0.17","0","6"
"2023-04-20","短视频推广_GH_20230401_20:10","6042.85","66","91.56","1.83","11078.50","13404.30","2.22","80","75.53563749999999","23","678","678","8.91","0","39"
"2023-04-20","直播推广_20230401_20:08","1383.50","12","115.29","1.21","1678.00","2533.00","1.83","15","92.2332","9","316","424","3.26","0","5"
"2023-04-19","测试","35.97","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","2","2","17.98","0","0"
"2023-04-19","建模","70.33","1","70.33","2.69","189.00","189.00","2.69","1","70.327","1","16","16","4.40","0","0"
"2023-04-19","直播推广_新客_20230410_14:57","1209.23","10","120.92","1.15","1390.90","1549.90","1.28","11","109.93027272727272","16","4732","5360","0.23","0","8"
"2023-04-19","短视频推广_GH_20230401_20:10","2350.23","25","94.01","1.91","4494.90","5082.00","2.16","27","87.04570370370371","15","318","318","7.39","0","16"
"2023-04-19","直播推广_20230401_20:08","1049.11","7","149.87","1.57","1651.00","1810.00","1.73","8","131.1385","1","124","124","8.46","0","1"
"2023-04-18","测试","356.67","3","118.89","1.65","587.00","587.00","1.65","3","118.88866666666667","4","54","54","6.60","0","4"
"2023-04-18","建模","101.74","1","101.74","1.37","139.00","139.00","1.37","1","101.744","1","15","15","6.78","0","1"
"2023-04-18","直播推广_新客_20230410_14:57","2202.46","26","84.71","2.06","4534.90","6294.90","2.86","36","61.17952777777778","38","9102","10177","0.22","2","16"
"2023-04-18","短视频推广_GH_20230401_20:10","7528.15","66","114.06","1.52","11430.60","12334.50","1.64","73","103.12531506849315","52","876","876","8.59","0","39"
"2023-04-18","直播推广_20230401_20:08","128.38","1","128.38","0.69","89.00","89.00","0.69","1","128.38","0","33","33","3.89","0","0"
"2023-04-17","测试","401.89","5","80.38","2.82","1134.00","1134.00","2.82","5","80.37780000000001","2","61","61","6.59","0","1"
"2023-04-17","建模","80.70","2","40.35","4.81","388.00","388.00","4.81","2","40.35","1","11","11","7.34","0","1"
"2023-04-17","直播推广_新客_20230410_14:57","643.61","5","128.72","1.19","765.00","765.00","1.19","5","128.7216","11","1899","2134","0.30","0","6"
"2023-04-17","短视频推广_GH_20230401_20:10","4961.79","45","110.26","1.63","8072.00","8838.00","1.78","49","101.261","25","599","599","8.28","0","29"
"2023-04-17","直播推广_20230401_20:08","59.71","0","0.00","0.00","0.00","0.00","0.00","0","0.0","2","11","11","5.43","0","0"
"2023-04-16","测试","680.08","8","85.01","2.27","1542.00","1870.00","2.75","10","68.00760000000001","2","117","117","5.81","0","5"
"2023-04-16","建模","167.03","2","83.52","1.72","288.00","288.00","1.72","2","83.517","0","29","29","5.76","0","0"
"2023-04-16","直播推广_新客_20230410_14:57","1153.58","8","144.20","1.26","1451.00","1769.00","1.53","10","115.358","21","10570","11208","0.10","0","8"
"2023-04-16","短视频推广_GH_20230401_20:10","4731.01","58","81.57","2.02","9551.30","11177.20","2.36","68","69.5737205882353","24","626","626","7.56","0","37"
"2023-04-16","直播推广_20230401_20:08","702.51","4","175.63","0.96","676.00","676.00","0.96","4","175.62725","7","1329","1392","0.50","0","0"
"2023-04-15","测试","1521.01","9","169.00","0.63","958.70","1127.60","0.74","11","138.274","12","169","169","9.00","0","6"
"2023-04-15","建模","82.84","2","41.42","4.56","378.00","378.00","4.56","2","41.4195","0","20","20","4.14","0","0"
"2023-04-15","直播推广_新客_20230410_14:57","615.58","1","615.58","1.12","689.00","689.00","1.12","1","615.577","3","2146","2403","0.26","0","0"
"2023-04-15","短视频推广_GH_20230401_20:10","4552.47","41","111.04","1.53","6948.80","7147.80","1.57","42","108.39221428571429","21","565","565","8.06","0","21"
"2023-04-15","直播推广_20230401_20:08","95.26","0","0.00","0.00","0.00","0.00","0.00","0","0.0","1","435","449","0.21","0","0"
"2023-04-14","测试","1155.88","16","72.24","2.58","2983.00","3550.00","3.07","18","64.21577777777779","7","139","139","8.32","0","12"
"2023-04-14","建模","202.17","1","202.17","0.34","69.00","69.00","0.34","1","202.166","3","41","41","4.93","0","0"
"2023-04-14","直播推广_新客_20230410_14:57","759.73","5","151.95","1.35","1024.00","1024.00","1.35","5","151.94660000000002","16","6611","7054","0.11","0","2"
"2023-04-14","短视频推广_GH_20230401_20:10","10081.94","102","98.84","1.85","18640.70","20067.40","1.99","114","88.4381052631579","66","1228","1228","8.21","0","52"
"2023-04-14","直播推广_20230401_20:08","1248.16","9","138.68","1.26","1570.00","1570.00","1.26","9","138.684","8","1985","2193","0.57","0","2"
"2023-04-13","测试","84.29","0","0.00","0.00","0.00","0.00","0.00","0","0.0","2","18","18","4.68","0","0"
"2023-04-13","建模","104.04","0","0.00","0.00","0.00","0.00","0.00","0","0.0","1","19","19","5.48","0","0"
"2023-04-13","直播推广_新客_20230410_14:57","2621.69","16","163.86","1.31","3424.00","5111.00","1.95","19","137.98342105263157","13","4105","5347","0.49","0","12"
"2023-04-13","短视频推广_GH_20230401_20:10","1950.80","10","195.08","0.84","1640.00","2325.00","1.19","15","130.05360000000002","14","290","290","6.73","0","7"
"2023-04-13","直播推广_20230401_20:08","1759.20","13","135.32","1.03","1819.00","2096.80","1.19","14","125.65742857142857","122","31081","31597","0.06","0","8"
"2023-04-12","测试","15.39","0","0.00","0.00","0.00","0.00","0.00","0","0.0","0","6","6","2.57","0","0"
"2023-04-12","建模","204.59","3","68.20","2.48","507.00","507.00","2.48","3","68.19733333333333","2","52","52","3.93","0","1"
"2023-04-12","直播推广_新客_20230410_14:57","379.46","4","94.87","0.89","337.80","337.80","0.89","4","94.866","6","2196","2401","0.16","0","1"
"2023-04-12","短视频推广_GH_20230401_20:10","8600.22","72","119.45","1.44","12381.70","14310.70","1.66","81","106.17558024691358","49","1150","1150","7.48","0","44"
"2023-04-12","直播推广_20230401_20:08","3484.04","39","89.33","2.02","7042.03","7772.03","2.23","44","79.18281818181818","105","20024","21658","0.16","1","20"
"2023-04-11","短视频推广_GH_20230401_20:10","9584.87","75","127.80","1.45","13901.80","14746.70","1.54","82","116.88869512195123","41","1247","1247","7.69","0","43"
"2023-04-11","直播推广_20230401_20:08","2295.40","36","63.76","2.25","5166.80","6508.70","2.84","43","53.3813488372093","38","1882","2907","0.79","0","20"
"2023-04-10","短视频推广_GH_20230401_20:10","14557.16","141","103.24","1.75","25417.50","30916.40","2.12","171","85.12956725146199","90","1970","1970","7.39","0","79"
"2023-04-10","直播推广_20230401_20:08","3718.06","49","75.88","2.71","10078.80","10843.60","2.92","57","65.2290701754386","68","3967","5620","0.66","3","32"
"2023-04-09","短视频推广_GH_20230401_20:10","9963.28","90","110.70","1.66","16554.70","17419.60","1.75","96","103.78416666666668","67","1534","1534","6.49","0","47"
"2023-04-09","直播推广_20230401_20:08","4064.05","42","96.76","1.61","6544.60","7697.50","1.89","48","84.66770833333332","42","3521","5614","0.72","0","30"
"2023-04-08","短视频推广_GH_20230401_20:10","6859.19","63","108.88","1.77","12164.80","13551.40","1.98","72","95.26655555555556","34","848","848","8.09","0","29"
"2023-04-08","直播推广_20230401_20:08","2242.73","21","106.80","1.33","2990.90","3000.80","1.34","21","106.79685714285715","16","2730","3691","0.61","0","6"
"2023-04-07","短视频推广_GH_20230401_20:10","1330.36","13","102.34","1.65","2197.00","2356.00","1.77","14","95.02571428571429","4","186","186","7.15","0","7"
"2023-04-07","直播推广_20230401_20:08","1632.93","12","136.08","1.23","2007.90","2007.90","1.23","13","125.61023076923077","18","2733","3590","0.45","0","7"
"2023-04-06","短视频推广_GH_20230401_20:10","2507.17","20","125.36","1.40","3510.00","5230.00","2.09","29","86.45427586206897","8","360","360","6.96","0","9"
"2023-04-06","直播推广_20230401_20:08","2993.77","24","124.74","1.48","4425.00","5310.00","1.77","30","99.79216666666667","19","3721","5050","0.59","1","16"
"2023-04-05","短视频推广_GH_20230401_20:10","7409.15","74","100.12","1.62","12020.40","14764.40","1.99","90","82.32392222222222","47","1019","1019","7.27","0","47"
"2023-04-05","直播推广_20230401_20:08","9163.46","89","102.96","1.73","15842.40","18515.40","2.02","107","85.63979439252337","55","9090","13356","0.69","0","40"
"2023-04-04","短视频推广_GH_20230401_20:10","4379.15","36","121.64","1.27","5574.90","6826.90","1.56","44","99.52613636363637","26","441","441","9.93","0","35"
"2023-04-04","直播推广_20230401_20:08","4452.13","47","94.73","1.39","6169.40","7370.90","1.66","58","76.76077586206897","29","4367","6305","0.71","2","27"
"2023-04-03","短视频推广_GH_20230401_20:10","620.42","8","77.55","2.47","1532.00","2099.00","3.38","11","56.40145454545454","8","88","88","7.05","0","7"
"2023-04-03","直播推广_20230401_20:08","6342.49","37","171.42","1.10","6979.00","9443.90","1.49","56","113.25875","31","4938","7072","0.90","1","26"
"2023-04-02","短视频推广_GH_20230401_20:10","359.31","2","179.66","0.97","348.00","935.00","2.60","5","71.8626","3","55","55","6.53","0","3"
"2023-04-02","直播推广_20230401_20:08","6520.29","44","148.19","1.22","7934.00","8769.00","1.34","49","133.06710204081634","36","5351","8587","0.76","2","33"
"2023-04-01","短视频推广_GH_20230401_20:10","73.74","1","73.74","2.56","189.00","189.00","2.56","1","73.743","0","6","6","12.29","0","0"
"2023-04-01","直播推广_20230401_20:08","1662.83","19","87.52","1.85","3071.00","3578.00","2.15","22","75.58295454545454","15","1811","2639","0.63","0","7"
